"Nome Parlamentar","NomeSemAcento","Partido","UF","Condição","Inicio","Fim"
"VALDECI OLIVEIRA               ","VALDECI OLIVEIRA               ","PT","RS","efetivado",1/2/1997,1/31/1999
"VALDEMAR COSTA NETO            ","VALDEMAR COSTA NETO            ","PL","SP","titular",2/1/1995,1/31/1999
"VALDENOR GUEDES                ","VALDENOR GUEDES                ","PPB","AP","titular",2/1/1995,1/31/1999
"VALDIR COLATTO                 ","VALDIR COLATTO                 ","PMDB","SC","efetivado",2/7/1995,1/31/1999
"VALDOMIRO MEGER                ","VALDOMIRO MEGER                ","PFL","PR","titular",2/1/1995,1/31/1999
"VANESSA FELIPPE                ","VANESSA FELIPPE                ","PFL","RJ","titular",2/1/1995,1/31/1999
"VANIO DOS SANTOS               ","VANIO DOS SANTOS               ","PT","SC","efetivado",1/6/1997,1/31/1999
"VIC PIRES FRANCO               ","VIC PIRES FRANCO               ","PFL","PA","titular",2/1/1995,1/31/1999
"VICENTE ANDRÉ GOMES            ","VICENTE ANDRE GOMES            ","PSB","PE","titular",2/1/1995,1/31/1999
"VICENTE ARRUDA                 ","VICENTE ARRUDA                 ","PSDB","CE","titular",2/1/1995,1/31/1999
"VICENTE CASCIONE               ","VICENTE CASCIONE               ","PTB","SP","titular",2/1/1995,1/31/1999
"VILMAR ROCHA                   ","VILMAR ROCHA                   ","PFL","GO","titular",2/1/1995,1/31/1999
"VILSON SANTINI                 ","VILSON SANTINI                 ","PTB","PR","titular",2/1/1995,12/30/1996
"VIRMONDES CRUVINEL             ","VIRMONDES CRUVINEL             ","PMDB","GO","efetivado",4/18/1995,4/18/1995
"VIRMONDES CRUVINEL             ","VIRMONDES CRUVINEL             ","PMDB","GO","efetivado",11/6/1997,11/6/1997
"VIRMONDES CRUVINEL             ","VIRMONDES CRUVINEL             ","PMDB","GO","efetivado",10/15/1998,10/25/1998
"VIRMONDES CRUVINEL             ","VIRMONDES CRUVINEL             ","PMDB","GO","efetivado",1/1/1999,1/31/1999
"VITTORIO MEDIOLI               ","VITTORIO MEDIOLI               ","PSDB","MG","titular",2/1/1995,1/31/1999
"VITURIANO DE ABREU             ","VITURIANO DE ABREU             ","PMDB","PB","efetivado",12/11/1998,1/31/1999
"WAGNER DO NASCIMENTO           ","WAGNER DO NASCIMENTO           ","PPB","MG","efetivado",1/2/1997,1/31/1999
"WAGNER ROSSI                   ","WAGNER ROSSI                   ","PMDB","SP","titular",2/1/1995,1/31/1999
"WAGNER SALUSTIANO              ","WAGNER SALUSTIANO              ","PPB","SP","titular",2/1/1995,1/31/1999
"WALDIR DIAS                    ","WALDIR DIAS                    ","PPB","PI","suplente",8/23/1995,12/22/1995
"WALDIR DIAS                    ","WALDIR DIAS                    ","PPB","PI","suplente",4/29/1998,9/18/1998
"WALDOMIRO FIORAVANTE           ","WALDOMIRO FIORAVANTE           ","PT","RS","titular",2/1/1995,1/31/1999
"WALTER PINHEIRO                ","WALTER PINHEIRO                ","PT","BA","efetivado",1/2/1997,1/31/1999
"WELINTON FAGUNDES              ","WELINTON FAGUNDES              ","PL","MT","titular",2/1/1995,1/31/1999
"WELSON GASPARINI               ","WELSON GASPARINI               ","PSDB","SP","titular",2/1/1995,1/31/1999
"WERNER WANDERER                ","WERNER WANDERER                ","PFL","PR","titular",2/1/1995,1/31/1999
"WIGBERTO TARTUCE               ","WIGBERTO TARTUCE               ","PPB","DF","titular",2/1/1995,12/31/1998
"WIGBERTO TARTUCE               ","WIGBERTO TARTUCE               ","PPB","DF","titular",1/6/1999,1/31/1999
"WILSON BRAGA                   ","WILSON BRAGA                   ","PSDB","PB","titular",2/1/1995,1/31/1999
"WILSON BRANCO                  ","WILSON BRANCO                  ","PMDB","RS","suplente",2/2/1995,3/20/1996
"WILSON BRANCO                  ","WILSON BRANCO                  ","PMDB","RS","suplente",4/10/1996,12/30/1996
"WILSON CAMPOS                  ","WILSON CAMPOS                  ","PSDB","PE","titular",2/1/1995,1/31/1999
"WILSON CIGNACHI                ","WILSON CIGNACHI                ","PMDB","RS","titular",2/1/1995,1/31/1999
"WILSON CUNHA                   ","WILSON CUNHA                   ","PTB","SE","titular",2/1/1995,11/13/1997
"WILSON CUNHA                   ","WILSON CUNHA                   ","PTB","SE","titular",4/2/1998,4/2/1998
"WILSON CUNHA                   ","WILSON CUNHA                   ","PTB","SE","titular",8/6/1998,1/31/1999
"WILSON LEITE PASSOS            ","WILSON LEITE PASSOS            ","PPB","RJ","suplente",6/4/1996,12/30/1996
"WOLNEY QUEIROZ                 ","WOLNEY QUEIROZ                 ","PDT","PE","titular",2/1/1995,1/31/1999
"YEDA CRUSIUS                   ","YEDA CRUSIUS                   ","PSDB","RS","titular",2/1/1995,1/31/1999
"ZAIRE REZENDE                  ","ZAIRE REZENDE                  ","PMDB","MG","titular",2/1/1995,1/31/1999
"ZÉ GERARDO                     ","ZE GERARDO                     ","PSDB","CE","titular",2/1/1995,12/31/1996
"ZÉ GOMES DA ROCHA              ","ZE GOMES DA ROCHA              ","PMDB","GO","titular",2/1/1995,1/31/1999
"ZILA BEZERRA                   ","ZILA BEZERRA                   ","PFL","AC","titular",2/1/1995,1/31/1999
"ZULAIÊ COBRA                   ","ZULAIE COBRA                   ","PSDB","SP","titular",2/1/1995,1/31/1999
