"Nome Parlamentar","NomeSemAcento","Partido","UF","Condição","Inicio","Fim"
"CECI CUNHA                     ","CECI CUNHA                     ","PSDB","AL","titular",2/1/1995,12/15/1998
"CÉLIA MENDES                   ","CELIA MENDES                   ","PPB","AC","titular",2/1/1995,1/31/1999
"CELSO DANIEL                   ","CELSO DANIEL                   ","PT","SP","titular",2/1/1995,12/31/1996
"CELSO RUSSOMANNO               ","CELSO RUSSOMANNO               ","PPB","SP","titular",2/1/1995,1/31/1999
"CESAR BANDEIRA                 ","CESAR BANDEIRA                 ","PFL","MA","titular",2/1/1995,1/31/1999
"CHICÃO BRÍGIDO                 ","CHICAO BRIGIDO                 ","PMDB","AC","titular",2/1/1995,5/5/1997
"CHICÃO BRÍGIDO                 ","CHICAO BRIGIDO                 ","PMDB","AC","titular",8/7/1997,1/31/1999
"CHICO DA PRINCESA              ","CHICO DA PRINCESA              ","PTB","PR","efetivado",2/3/1995,1/31/1999
"CHICO FERRAMENTA               ","CHICO FERRAMENTA               ","PT","MG","titular",2/1/1995,12/31/1996
"CHICO VIGILANTE                ","CHICO VIGILANTE                ","PT","DF","titular",2/1/1995,1/31/1999
"CIDINHA CAMPOS                 ","CIDINHA CAMPOS                 ","PDT","RJ","titular",2/1/1995,1/31/1999
"CIPRIANO CORREIA               ","CIPRIANO CORREIA               ","PSDB","RN","titular",2/1/1995,5/7/1998
"CIPRIANO CORREIA               ","CIPRIANO CORREIA               ","PSDB","RN","titular",9/15/1998,1/31/1999
"CIRO NOGUEIRA                  ","CIRO NOGUEIRA                  ","PFL","PI","titular",2/1/1995,1/31/1999
"CLAUDIO CAJADO                 ","CLAUDIO CAJADO                 ","PFL","BA","titular",2/1/1995,1/31/1999
"CLÁUDIO CHAVES                 ","CLAUDIO CHAVES                 ","PFL","AM","suplente",3/7/1996,5/27/1996
"CLÁUDIO CHAVES                 ","CLAUDIO CHAVES                 ","PFL","AM","suplente",1/1/1997,1/8/1998
"CLEONÂNCIO FONSECA             ","CLEONANCIO FONSECA             ","PMDB","SE","titular",2/1/1995,1/31/1999
"COLBERT MARTINS                ","COLBERT MARTINS                ","PPS","BA","efetivado",1/2/1997,1/31/1999
"CONFÚCIO MOURA                 ","CONFUCIO MOURA                 ","PMDB","RO","titular",2/1/1995,1/31/1999
"CORAUCI SOBRINHO               ","CORAUCI SOBRINHO               ","PFL","SP","titular",2/1/1995,1/31/1999
"CORIOLANO SALES                ","CORIOLANO SALES                ","PDT","BA","titular",2/1/1995,1/31/1999
"COSTA FERREIRA                 ","COSTA FERREIRA                 ","PFL","MA","efetivado",3/6/1995,4/2/1998
"COSTA FERREIRA                 ","COSTA FERREIRA                 ","PFL","MA","efetivado",6/10/1998,1/31/1999
"CUNHA BUENO                    ","CUNHA BUENO                    ","PPB","SP","titular",2/1/1995,1/31/1999
"CUNHA LIMA                     ","CUNHA LIMA                     ","PPB","SP","titular",2/1/1995,1/31/1999
"DALILA FIGUEIREDO              ","DALILA FIGUEIREDO              ","PSDB","SP","suplente",1/3/1997,3/31/1998
"DANILO DE CASTRO               ","DANILO DE CASTRO               ","PSDB","MG","titular",2/1/1995,1/31/1999
"DARCI COELHO                   ","DARCI COELHO                   ","PFL","TO","titular",2/1/1995,2/2/1995
"DARCI COELHO                   ","DARCI COELHO                   ","PFL","TO","titular",8/1/1995,5/31/1996
"DARCI COELHO                   ","DARCI COELHO                   ","PFL","TO","titular",8/7/1996,9/17/1996
"DARCI COELHO                   ","DARCI COELHO                   ","PFL","TO","titular",10/21/1996,1/31/1999
"DARCÍSIO PERONDI               ","DARCISIO PERONDI               ","PMDB","RS","titular",2/1/1995,1/31/1999
"DAVI ALVES SILVA               ","DAVI ALVES SILVA               ","PPB","MA","titular",2/1/1995,9/22/1998
"DE VELASCO                     ","DE VELASCO                     ","PRONA","SP","titular",2/1/1995,1/31/1999
"DEJANDIR DALPASQUALE           ","DEJANDIR DALPASQUALE           ","PMDB","SC","suplente",2/13/1995,2/13/1995
"DEJANDIR DALPASQUALE           ","DEJANDIR DALPASQUALE           ","PMDB","SC","suplente",1/2/1997,4/2/1998
"DELFIM NETTO                   ","DELFIM NETTO                   ","PPB","SP","titular",2/1/1995,1/31/1999
"DÉRCIO KNOP                    ","DERCIO KNOP                    ","PDT","SC","efetivado",1/2/1997,1/31/1999
"DILCEU SPERAFICO               ","DILCEU SPERAFICO               ","PPB","PR","titular",2/1/1995,1/31/1999
"DILSO SPERAFICO                ","DILSO SPERAFICO                ","PSDB","MS","titular",2/1/1995,1/31/1999
"DJALMA DE ALMEIDA CESAR        ","DJALMA DE ALMEIDA CESAR        ","PMDB","PR","efetivado",10/7/1996,1/31/1999
"DOLORES NUNES                  ","DOLORES NUNES                  ","PFL","TO","titular",2/1/1995,1/31/1999
"DOMINGOS DUTRA                 ","DOMINGOS DUTRA                 ","PT","MA","titular",2/1/1995,12/30/1996
"DOMINGOS LEONELLI              ","DOMINGOS LEONELLI              ","PSB","BA","titular",2/1/1995,1/31/1999
"DUILIO PISANESCHI              ","DUILIO PISANESCHI              ","PTB","SP","titular",2/1/1995,1/31/1999
"EDINHO ARAÚJO                  ","EDINHO ARAUJO                  ","PMDB","SP","titular",2/1/1995,1/31/1999
"EDINHO BEZ                     ","EDINHO BEZ                     ","PMDB","SC","titular",2/1/1995,1/31/1999
"EDISON ANDRINO                 ","EDISON ANDRINO                 ","PMDB","SC","titular",2/1/1995,1/31/1999
"EDSON EZEQUIEL                 ","EDSON EZEQUIEL                 ","PDT","RJ","titular",2/1/1995,12/30/1996
"EDSON MENEZES DA SILVA         ","EDSON MENEZES DA SILVA         ","PC DO B","RS","efetivado",1/5/1999,1/31/1999
"EDSON QUEIROZ                  ","EDSON QUEIROZ                  ","PPB","CE","titular",2/1/1995,7/14/1997
"EDSON SILVA                    ","EDSON SILVA                    ","PSDB","CE","efetivado",9/4/1995,1/31/1999
"EDSON SOARES                   ","EDSON SOARES                   ","PSDB","MG","efetivado",8/24/1995,6/9/1996
"EDUARDO BARBOSA                ","EDUARDO BARBOSA                ","PSDB","MG","titular",2/1/1995,12/21/1995
"EDUARDO BARBOSA                ","EDUARDO BARBOSA                ","PSDB","MG","titular",4/2/1998,1/31/1999
"EDUARDO CAMPOS                 ","EDUARDO CAMPOS                 ","PSB","PE","titular",2/1/1995,2/2/1995
"EDUARDO CAMPOS                 ","EDUARDO CAMPOS                 ","PSB","PE","titular",4/2/1998,1/31/1999
"EDUARDO COELHO                 ","EDUARDO COELHO                 ","PSDB","SP","suplente",6/24/1997,3/18/1998
"EDUARDO JORGE                  ","EDUARDO JORGE                  ","PT","SP","titular",2/1/1995,1/31/1999
"EDUARDO MASCARENHAS            ","EDUARDO MASCARENHAS            ","PSDB","RJ","titular",2/1/1995,4/28/1997
"EFRAIM MORAIS                  ","EFRAIM MORAIS                  ","PFL","PB","titular",2/1/1995,1/31/1999
"ELCIONE BARBALHO               ","ELCIONE BARBALHO               ","PMDB","PA","titular",2/1/1995,1/31/1999
"ELIAS ABRAHÃO                  ","ELIAS ABRAHAO                  ","PMDB","PR","titular",2/1/1995,9/17/1996
"ELIAS MURAD                    ","ELIAS MURAD                    ","PSDB","MG","titular",2/1/1995,1/31/1999
"ELISEU MOURA                   ","ELISEU MOURA                   ","PL","MA","titular",2/1/1995,1/31/1999
"ELISEU PADILHA                 ","ELISEU PADILHA                 ","PMDB","RS","titular",2/1/1995,2/2/1995
"ELISEU PADILHA                 ","ELISEU PADILHA                 ","PMDB","RS","titular",12/7/1995,5/21/1997
"ELISEU RESENDE                 ","ELISEU RESENDE                 ","PFL","MG","titular",2/1/1995,1/31/1999
"ELÍSIO CURVO                   ","ELISIO CURVO                   ","PTB","MS","suplente",8/7/1996,12/5/1996
"ELTON ROHNELT                  ","ELTON ROHNELT                  ","PFL","RR","titular",2/1/1995,1/31/1999
"EMANUEL FERNANDES              ","EMANUEL FERNANDES              ","PSDB","SP","suplente",6/11/1996,12/31/1996
"EMERSON OLAVO PIRES            ","EMERSON OLAVO PIRES            ","PSDB","RO","titular",2/1/1995,1/31/1999
"EMÍLIO ASSMAR                  ","EMILIO ASSMAR                  ","PPB","AC","efetivado",5/23/1997,1/31/1999
"ENIO BACCI                     ","ENIO BACCI                     ","PDT","RS","titular",2/1/1995,1/31/1999
"ENIVALDO RIBEIRO               ","ENIVALDO RIBEIRO               ","PPB","PB","titular",2/1/1995,8/5/1996
"ENIVALDO RIBEIRO               ","ENIVALDO RIBEIRO               ","PPB","PB","titular",12/5/1996,1/31/1999
"ENYR LAPROVITA                 ","ENYR LAPROVITA                 ","PMDB","DF","suplente",1/5/1999,1/5/1999
"ERALDO TINOCO                  ","ERALDO TINOCO                  ","PFL","BA","titular",2/1/1995,2/2/1995
"ERALDO TINOCO                  ","ERALDO TINOCO                  ","PFL","BA","titular",4/3/1998,1/3/1999
