"id","name","party","state","vote.1692","vote.1693","vote.1694","vote.1695","vote.1696","vote.1698","vote.1763","vote.1764","vote.1765","vote.1766","vote.1767","vote.1769","vote.1771","vote.1772","vote.1773","vote.1774","vote.1775","vote.1777","vote.1779","vote.1781"
18,"DEUSDETH PANTOJA","PFL","PA",1,1,2,1,2,1,2,1,1,4,4,1,1,4,4,4,4,2,4,2
444,"DILCEU SPERAFICO","PPB","PR",1,1,2,1,2,1,2,1,1,4,4,1,4,4,1,1,1,2,4,2
293,"DINO FERNANDES","PPB","RJ",1,1,2,1,2,1,4,4,4,2,2,1,1,2,1,1,1,2,4,2
598,"DIVALDO SURUAGY","PST","AL",4,4,2,1,2,1,3,3,4,2,2,4,1,2,1,1,1,2,4,2
155,"DJALMA PAES","PSB","PE",2,2,1,1,1,2,1,2,2,4,4,2,2,2,1,2,1,1,4,1
624,"DOLORES NUNES","PMDB","TO",1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"DOMICIANO CABRAL","PSDB","PB",1,1,2,1,2,1,2,4,1,4,4,4,1,2,4,4,4,4,4,2
620,"DR  ANTONIO CRUZ","PMDB","MS",2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,4,2
12,"DR  BENEDITO DIAS","PPB","AP",1,1,1,1,2,4,2,1,1,2,2,1,1,2,1,1,4,2,4,2
356,"DR  EVILASIO","PSB","SP",NA,NA,NA,NA,NA,NA,1,2,2,1,5,2,2,2,1,2,1,1,5,1
625,"DR  GOMES","PFL","AM",1,4,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,"DR  HELENO","PSDB","RJ",1,1,2,1,2,1,2,1,1,2,2,4,1,4,1,1,4,2,4,2
358,"DR  HELIO","PDT","SP",2,1,1,2,1,2,1,2,2,1,5,1,2,1,1,2,1,2,5,1
449,"DR  ROSINHA","PT","PR",1,1,1,1,1,2,4,4,4,4,4,4,2,2,1,2,1,4,4,1
349,"DUILIO PISANESCHI","PTB","SP",1,1,2,1,2,1,2,1,1,4,4,1,4,4,2,1,1,2,4,2
301,"EBER SILVA","PST","RJ",4,4,2,1,2,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4
470,"EDINHO BEZ","PMDB","SC",1,1,1,1,2,1,2,1,1,4,2,1,1,4,1,1,1,2,4,2
578,"EDIR OLIVEIRA","PTB","RS",1,1,1,1,2,1,2,1,1,2,2,4,1,2,2,2,1,4,4,1
471,"EDISON ANDRINO","PMDB","SC",1,1,1,1,4,2,2,1,1,2,4,1,2,1,1,2,1,1,4,4
231,"EDMAR MOREIRA","PPB","MG",1,1,4,1,2,1,2,1,1,4,4,1,1,4,1,1,1,4,4,2
623,"EDMUNDO GALDINO","PSDB","TO",1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,"EDUARDO BARBOSA","PSDB","MG",1,1,2,1,2,1,4,4,4,4,4,1,1,2,1,1,1,2,4,2
140,"EDUARDO CAMPOS","PSB","PE",2,2,1,1,1,2,1,2,2,5,5,2,2,5,1,2,1,1,4,4
307,"EDUARDO PAES","PFL","RJ",NA,NA,NA,NA,NA,NA,2,1,4,4,4,4,1,2,1,1,4,1,4,2
14,"EDUARDO SEABRA","PTB","AP",1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,4,1
131,"EFRAIM MORAIS","PFL","PB",1,4,2,4,2,1,1,1,1,2,2,1,1,4,1,1,1,2,4,2
22,"ELCIONE BARBALHO","PMDB","PA",1,1,4,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,4,2
612,"ELIAS MURAD","PSDB","MG",1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"ELISEU MOURA","PPB","MA",1,1,2,1,1,1,4,4,4,4,4,4,1,4,1,1,1,2,4,4
232,"ELISEU RESENDE","PFL","MG",1,1,2,4,2,1,2,1,1,2,2,4,1,4,1,1,4,2,4,2
353,"EMERSON KAPAZ","PPS","SP",1,1,1,1,1,1,2,2,2,2,4,1,2,1,1,1,1,1,4,1
477,"ENI VOLTOLINI","PPB","SC",1,4,1,4,4,4,2,1,4,2,2,1,1,2,1,1,1,2,5,4
493,"ENIO BACCI","PDT","RS",2,4,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132,"ENIVALDO RIBEIRO","PPB","PB",1,4,2,4,2,1,2,1,4,2,2,1,1,2,1,1,1,2,4,2
189,"ERALDO TINOCO","PFL","BA",NA,NA,NA,NA,NA,NA,2,1,1,1,2,1,4,2,1,1,1,1,4,1
532,"ESTHER GROSSI","PT","RS",1,1,1,1,1,2,4,2,2,1,5,1,2,2,4,4,4,1,4,1
190,"EUJACIO SIMOES","PL","BA",1,1,1,1,4,1,2,1,1,2,4,4,1,2,4,1,1,4,4,1
415,"EULER MORAIS","PMDB","GO",2,2,1,1,1,2,2,5,5,2,2,1,1,2,1,2,1,2,4,2
563,"EULER RIBEIRO","PFL","AM",1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"EUNICIO OLIVEIRA","PMDB","CE",4,1,2,1,2,2,4,1,1,2,2,4,1,2,4,1,1,2,4,2
295,"EURICO MIRANDA","PPB","RJ",4,4,2,2,2,1,2,1,1,2,4,1,1,2,1,1,1,4,4,2
