"id","name","party","state","vote.587","vote.588","vote.589","vote.590","vote.591","vote.592","vote.597","vote.598","vote.599","vote.605","vote.606","vote.608","vote.609","vote.610","vote.611","vote.618","vote.619","vote.620","vote.621","vote.622","vote.623","vote.624","vote.625"
187,"CORIOLANO SALES","PDT","BA",3,2,2,1,1,4,2,3,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
540,"COSTA FERREIRA","PFL","MA",4,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
346,"CUNHA BUENO","PPB","SP",4,2,1,2,4,4,2,3,1,4,4,1,1,1,2,1,2,4,1,1,2,2,1
347,"CUNHA LIMA","PPB","SP",2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
229,"DANILO DE CASTRO","PSDB","MG",4,2,1,4,1,4,4,4,4,1,1,1,4,1,2,1,2,2,1,1,2,2,1
61,"DARCI COELHO","PFL","TO",2,2,1,4,1,1,1,2,1,1,1,1,1,1,2,1,2,4,1,1,2,2,1
491,"DARCISIO PERONDI","PMDB","RS",2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,4,1,1,4,4,1
382,"DE VELASCO","PRONA","SP",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
348,"DELFIM NETTO","PPB","SP",2,4,4,4,4,4,1,2,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4
588,"DERCIO KNOP","PDT","SC",2,1,2,1,2,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
444,"DILCEU SPERAFICO","PPB","PR",2,2,1,4,1,1,1,2,1,1,1,1,1,1,2,4,2,2,1,1,2,2,1
433,"DILSO SPERAFICO","PSDB","MS",2,4,4,1,2,1,1,2,1,1,1,1,1,1,4,1,2,2,4,4,4,4,4
576,"DJALMA DE ALMEIDA CESAR","PMDB","PR",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,4,2,1,1,2,2,1
62,"DOLORES NUNES","PFL","TO",2,2,1,3,3,1,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
188,"DOMINGOS LEONELLI","PSB","BA",2,4,2,1,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
349,"DUILIO PISANESCHI","PTB","SP",4,2,1,1,4,4,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
350,"EDINHO ARAUJO","PMDB","SP",2,4,1,1,1,1,1,2,1,1,4,1,1,1,2,1,2,2,1,1,2,2,1
470,"EDINHO BEZ","PMDB","SC",2,2,4,1,1,1,1,2,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
471,"EDISON ANDRINO","PMDB","SC",2,2,1,2,1,1,2,1,2,1,1,2,2,2,4,2,4,1,4,2,2,4,4
635,"EDSON MENEZES DA SILVA","PCdoB","RS",1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
554,"EDSON SILVA","PSDB","CE",2,2,1,1,1,1,1,2,1,1,1,1,4,1,2,1,2,2,1,1,2,2,1
230,"EDUARDO BARBOSA","PSDB","MG",2,2,1,1,1,1,4,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
140,"EDUARDO CAMPOS","PSB","PE",4,4,4,4,4,4,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
351,"EDUARDO JORGE","PT","SP",1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
131,"EFRAIM MORAIS","PFL","PB",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
22,"ELCIONE BARBALHO","PMDB","PA",4,1,1,1,1,1,2,1,2,1,1,1,2,1,4,1,4,2,1,1,2,2,1
231,"ELIAS MURAD","PSDB","MG",2,2,1,1,1,1,1,2,1,1,1,1,4,1,2,4,2,2,1,1,4,4,4
73,"ELISEU MOURA","PL","MA",4,4,4,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,3,2,2,1
232,"ELISEU RESENDE","PFL","MG",2,2,4,4,4,4,1,4,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
2,"ELTON ROHNELT","PFL","RR",2,2,1,1,1,4,1,2,1,1,1,1,1,1,4,1,4,2,1,1,2,2,1
46,"EMERSON OLAVO PIRES","PSDB","RO",4,4,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,4,2,4,1
615,"EMILIO ASSMAR","PPB","AC",2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1
493,"ENIO BACCI","PDT","RS",1,1,2,1,1,1,1,1,2,1,2,2,2,2,4,4,4,4,4,4,4,4,4
132,"ENIVALDO RIBEIRO","PPB","PB",2,2,1,1,1,1,1,2,1,4,4,4,4,4,2,1,2,2,1,1,2,2,1
636,"ENYR LAPROVITA VIEIRA","PPB","DF",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"ERALDO TRINDADE","PPB","AP",4,4,4,4,4,1,3,3,3,1,1,1,1,1,4,1,2,2,1,1,2,2,1
494,"ESTHER GROSSI","PT","RS",4,1,2,1,1,1,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4
587,"ETEVALDA GRASSI DE MENEZES","PMDB","ES",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
190,"EUJACIO SIMOES","PL","BA",4,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
39,"EULER RIBEIRO","PFL","AM",2,2,1,1,4,4,4,2,1,1,1,1,1,1,2,1,2,2,4,4,4,4,4
295,"EURICO MIRANDA","PPB","RJ",2,2,1,3,2,1,1,2,1,1,1,1,1,1,2,1,2,2,3,1,4,2,1
47,"EURIPEDES MIRANDA","PDT","RO",4,4,4,4,4,4,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
48,"EXPEDITO JUNIOR","PFL","RO",4,2,4,4,1,4,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
495,"EZIDIO PINHEIRO","PSDB","RS",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
352,"FABIO FELDMANN","PSDB","SP",4,2,1,1,1,1,1,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
11,"FATIMA PELAES","PSDB","AP",2,2,4,4,4,1,1,2,1,1,4,1,1,1,2,1,2,2,1,1,2,2,1
353,"FAUSTO MARTELLO","PPB","SP",4,4,4,4,4,4,1,2,1,4,4,1,1,4,4,4,4,4,4,4,4,4,4
113,"FELIPE MENDES","PPB","PI",2,2,1,1,1,4,1,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
191,"FELIX MENDONCA","PTB","BA",2,2,1,1,1,4,1,2,1,1,1,1,1,1,2,1,2,2,1,1,4,2,1
233,"FERNANDO DINIZ","PMDB","MG",2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
141,"FERNANDO FERRO","PT","PE",1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
